fk_word,def_en,def_es,translation
1,"Used to refer to a specific or previously mentioned person, place, thing, etc.","Usado para referirse a una persona, lugar, cosa específica o mencionada anteriormente",el/la/los/las
2,a is a general singular article used before nouns,un es un artículo definitivo generalmente utilizado ante sustantivos,un/una
3,Used as the first person singular pronoun.,Se utiliza como el pronombre personal singular en primer persona.,yo
4,used to refer to a person or thing without specifying who or what,usado para referirse a una persona o cosa sin especificar quién ni qué,él/ella/ello
5,"used to connect words, phrases, or clauses in a sentence.","se utiliza para conectar palabras, frases o cláusulas en una oración.",y
6,used to refer to a person or people in a respectful manner,se utiliza para referirse a una persona o personas en un modo respetuoso,tú/usted/vosotros/ustedes
7,Used to indicate possession or relationship.,Usado para indicar posesión o relación.,de
8,Used to refer back to a person or thing previously mentioned in the conversation.,Usado para referirse a una persona o cosa previamente mencionada en la conversación.,ese/esa/aquel/aquella
9,used to indicate a location or position within something,usado para indicar una ubicación o posición dentro de algo,en
10,used to refer to the speaker and others in a group,usado para referirse al hablante y otros en un grupo,nosotros/nosotras
11,used to indicate purpose or reason for something,usado para indicar propós o razón para algo,para/por
12,to possess or have something,poseer o tener algo,tener/haber
13,Located on a surface or in a particular position.,Ubicado sobre una superficie o en un lugar específico.,sobre/en
14,Used to refer to a person or thing that is near or in the present tense.,Se utiliza para referir a una persona o cosa que está cerca o en el presente,este/esta
15,Used as a subject pronoun to refer to a group of people or things.,Usado como pronombre de sujeto para referirse a un grupo de personas o cosas.,ellos/ellas
16,He is a male noun.,Él es un sustantivo masculino.,él
17,used to ask for information or clarification,se utiliza para preguntar por información o aclaración,qué
18,used to indicate a contrast or an exception,usado para indicar una oposición o excepción,pero
19,used to show the relationship between two things or people.,usado para mostrar la relación entre dos cosas o personas.,con
20,indicating a location or position.,indicando una ubicación o posición.,en/a
21,used to indicate the whole or entire amount of something,se utiliza para indicar el todo o la cantidad total de algo,todo/toda/todos/todas
22,used to indicate similarity or equivalence,se usa para indicar similitud o equivalencia,como
23,one as a numerical unit,uno como unidad numérica,uno
24,to be able to do something,tener la capacidad de hacer algo,poder
25,a decision or determination made before something happens,una decisión o determinación tomada antes de que algo suceda,voluntad/testamento
26,Located at or above a surface,Ubicado en o sobre una superficie,arriba
27,used to show that something is similar in nature or effect,usado para mostrar que algo es similar en naturaleza o efecto,como
28,Used to indicate possession or relationship.,Se utiliza para indicar posesión o relación.,mi
29,relating to or about something,relacionado con o sobre algo,sobre/acerca de
30,to consider or reflect on something,considerar o reflexionar sobre algo,pensar
31,Used to introduce a condition or hypothesis,Usado para introducir una condición o hipótesis,si
32,used to indicate refusal or negation,utilizado para indicar rechazo o negación,ningún/ninguna
33,originating or coming from a particular place or person.,origeniado o proveniente de un lugar o persona en particular.,de/desde
34,to acquire or obtain something,obtener o conseguir algo,obtener/conseguir
35,located or situated outside something,ubicado o situado fuera de algo,fuera
36,used to express possibility or potentiality,utilizado para expresar posibilidad o potencialidad,(verbo condicional)
37,to have or be aware of something,tener o estar al tanto de algo,saber/conocer
38,Used to refer to a person of female gender.,Usada para referirse a una persona del género femenino.,ella
39,having a pleasing quality,teniendo una calidad agradable,bueno/buena
40,The present moment or a specific point in the past or future.,El presente momento o un punto específico en el pasado o futuro.,tiempo
41,the people in a country,la gente en un país,gente/personas
42,to perceive with the eyes or as if by the eyes,perceber con los ojos o como si se viera,ver
43,Used to ask for the identity or description of a person or thing.,Se utiliza para preguntar por la identidad o descripción de una persona o cosa.,quien/quiénes
44,"used to indicate that something has increased or become greater in amount, degree, or intensity","se utiliza para indicar que algo ha aumentado o se ha vuelto mayor en cantidad, grado o intensidad",más
45,Used to indicate a choice between two options,Usado para indicar una elección entre dos opciones,o
46,Used to indicate cause or agent,Usado para indicar la causa o agente,por
47,used to indicate an indefinite quantity or amount,se utiliza para indicar una cantidad o cantidad indefinida,algunos/algunas
48,able to do something,capaz de hacer algo,podía/podría
49,used to introduce a question or to indicate a choice between two alternatives.,usado para introducir una pregunta o indicar una elección entre dos alternativas.,cuál/cuáles
50,to move towards the speaker or a place from which one is coming,llegar a un lugar o persona desde donde uno viene,venir
51,to direct one's attention towards something,dir la atención hacia algo,mirar
52,to desire or wish for something,querer algo,querer
53,used to explain the reason for something,se utiliza para explicar la razón de algo,porque
54,A number indicating a quantity of two items or units.,Un número que indica una cantidad de dos unidades o elementos.,dos
55,Used to indicate the beginning or initial stage of something,Usado para indicar el comienzo o etapa inicial de algo,primero/primera
56,to allow something to happen or be done.,dar permiso para que suceda o se realice algo.,dejar/permitir
57,Located above or beyond something.,Ubicado encima o más allá de algo.,sobre/encima de
58,to bring into existence or to create something,llevar a la existencia o crear algo,hacer
59,to express an opinion or feeling in speech or writing,expresar una opinión o sentimiento por voz o escritura,decir
60,used to refer to people or things previously mentioned or easily identified.,se utiliza para referirse a personas o cosas anteriormente mencionadas o fácilmente identificables.,estos/estas
61,a path or route,un camino o ruta,camino/manera
62,A small portion or fragment of something.,Un pequeño trozo o fragmento de algo.,pedazo/poco
63,in a downward direction or position,en una dirección o posición hacia abajo,abajo
64,located or situated outside something.,ubicado o situado fuera de algo.,fuera de/apagado
65,to seize or obtain something,señalar o obtener algo,tomar
66,to require something in order to accomplish something or maintain a situation.,requerir algo para lograr algo o mantener una situación.,necesitar
67,of small size or amount,de pequeña o pequeño tamaño,pequeño/pequeña
68,Used to compare two things or people.,Usado para comparar dos cosas o personas.,que
69,used to indicate the presence of something,usado para indicar la presencia de algo,algún/alguna/cualquier
70,it is necessary or expected that something should be done,es necesario o esperado que algo debiera hacerse,debería (condicional)
71,extremely good or of high quality,muy bueno o de alta calidad,grande/excelente
72,A period of 24 hours.,Un período de 24 horas.,día
73,the activity of doing a job or skill for pay,la actividad de realizar un trabajo o habilidad para el pago,trabajo
74,to place something in a particular position or location,colocar algo en una posición o ubicación específica,poner
75,A large amount or quantity of something.,Una gran cantidad o cantidad de algo.,lote/mucho
76,new can be used to describe something that has just been introduced or started.,nuevo se utiliza para describir algo que ha sido introducido recientemente o empezado.,nuevo/nueva
77,of the most recent or final in time or sequence,de la más reciente o final en tiempo o secuencia,último/última
78,The current day of the month.,El día actual del mes.,hoy
79,used to indicate movement from one side of something to the other,se utiliza para indicar movimiento desde una parte de algo hacia la otra,a través de
80,extremely large in size or amount,muy grande en tamaño o cantidad,grande
81,A thing is an object or entity that exists or can be perceived.,Una cosa es un objeto o entidad que existe o se puede percibir.,cosa
82,in a later time or position,en un momento posterior o posición,después de
83,Used to refer to two or more things previously mentioned or clearly understood in the context.,Usado para referirse a dos o más cosas anteriormente mencionadas o claras en el contexto.,esos/esas/aquellos/aquellas
84,A quantity of three items or objects.,Un número de tres objetos o elementos.,tres
85,A year is a unit of time equal to 365.24 days.,"Un año es una unidad de tiempo igual a 365,24 días.",año
86,"used to indicate the point in time or position that follows a particular event, period, or action","utilizado para indicar el punto en el tiempo o posición que sigue un evento específico, período o acción",siguiente/próximo
87,to locate or discover something,localizar o descubrir algo,encontrar
88,in a position or time that is earlier than something else,en una posición o tiempo que es anterior al de algo,antes de
89,the entire physical universe including all of space and time,el universo entero que incluye todo el espacio y el tiempo,mundo
90,to have a strong feeling of affection for someone or something,tener un fuerte sentimiento de afecto por alguien o algo,amar
91,used to describe quantities that are numerous or large,usado para describir cantidades numerosas o grandes,muchos/muchas
92,To express gratitude or appreciation for something.,Expresar agradecimiento o aprecio por algo.,agradecer
93,A person's dwelling place.,El lugar donde una persona vive.,hogar/casa
94,to cause someone to have something,causar a alguien que tenga algo,dar
95,located or situated on all sides of something,ubicado o situado a todos lados de algo,alrededor de
96,A human male.,Un hombre es un ser humano masculino.,hombre
97,the money in your pocket is yours alone,el dinero que tienes en tu bolsillo es tuyo,dinero
98,pleasantly pleasing or appealing.,plejente y agradable.,agradable/bonito
99,A house is a building for human habitation.,Una casa es un edificio para la habitación humana.,casa
100,to communicate information to someone,comunicar información a alguien,decir/contar
101,The experience or existence of human beings on earth.,La experiencia o existencia de seres humanos en la tierra.,vida
102,of great extent or duration,de gran extensión o duración,largo/larga
103,to have the ability or power to do something,tener la capacidad o potencial para hacer algo,poder (pasado/potencial)
104,extremely antiquated or out of date,extremadamente antiguo o de fecha antigua,viejo/vieja
105,confident or certain,confidente o seguro,seguro/segura
106,A location where something happens or exists,Un lugar donde sucede algo o existe,lugar
107,used to show possession or belonging,utilizado para mostrar posesion o pertenencia,su (de ello)
108,"a presentation or performance of music, dance, or other art forms","una presentación o actuación de música, danza o otras formas de arte",espectáculo
109,the final point or stage of something,el último punto o etapa de algo,fin
110,to initiate or begin something,initiar o comenzar algo,comenzar
111,A government is the system or group of people who make and enforce decisions for a country.,El gobierno es el sistema o grupo de personas que hacen y aplican las decisiones para un país.,gobierno
112,to assist or support someone or something in need,ayudar a alguien o algo en necesidad,ayudar
113,used to refer to all members of a group or set.,se utiliza para referirse a todos los miembros de un grupo o conjunto.,cada
