fk_word,ex_en,word_pos_en,ex_es,word_pos_esp
1,That book is on the table.,5,Ese libro está en la mesa.,0
2,She bought a book for her son,3,Ella compró un libro para su hijo,3
3,I really enjoy spending time with my friends.,1,Me encanta pasar tiempo con mis amigos.,0
4,I don't know what it is.,5,No sé qué es él.,5
5,She is studying and playing the guitar.,4,Estudia y toca el guitarra.,2
6,Can you pass the salt?,2,Puedes pasar la sal?,0
7,This is the book of my favorite author.,5,Esta es la libro de mi autor favorito.,5
8,I can see that you need help.,4,Puedo ver que necesitas ayuda.,0
9,The ball is in the park.,4,El balón está en el parque.,4
10,We are going to the store.,1,Nosotros vamos a la tienda.,1
11,She is studying for her exam tomorrow,4,Ella estudia para su exámino de maáana,3
12,I have a lot of books.,2,Tengo mucha literatura.,0
13,The light is shining on the wall.,5,La luz está brillando sobre la pared.,5
14,I'm going to this party tonight.,4,Estoy iba a este festival por la noche.,4
15,They are coming to the party tonight.,1,Están llegando al fiesta esta noche.,0
16,The manager is he who signs the checks.,4,El jefe es él quien firma los cheques.,4
17,I don't know what time the movie starts.,4,No sé qué hora comienza la película.,3
18,"I wanted to go, but I had a headache.",5,"Quería ir, pero tenía un dolor de cabeza.",3
19,She is going with her friends to the party.,4,Ella va con sus amigos al party.,3
20,The book is at the top shelf.,4,El libro está en la parte superior del estante.,4
21,I need to study all night if I want to pass this exam.,5,Necesito estudiar toda la noche si quiero aprobar este examen.,0
22,She sings as sweetly as a bird,3,Ella canta como una pava,3
23,I have one apple in my lunchbox.,3,Tengo una manzana en mi cajita de almuerzo.,0
24,She can speak three languages fluently.,2,Ella puede hablar tres idiomas con fluidez.,0
25,She will attend the concert tonight.,2,Ella voluntad asistir al concierto esta noche.,2
26,She stood up from her seat.,3,Ella se puso de pie desde su silla.,0
27,I like the way she sings,2,Me gusta la manera en que ella canta,0
28,This is my first day at college.,3,Esta es mi primera día en la universidad.,3
29,She is about town this weekend.,3,Ella está de pueblo este fin de semana.,0
30,She took a moment to think about her next move.,6,Ella tomó un momento para pensar en su próximo movimiento.,6
31,I don't have money if you lend me yours.,5,No tengo dinero si me prestas el tuyo.,4
32,"I don't want to go to the party, no one's coming.",9,"No voy al festival, nadie viene.",0
33,She wrote letters from Paris about her travels.,4,Ella escribió cartas de París sobre sus viajes.,4
34,Can you get me a coffee?,3,"Puedes darme un café, por favor.",0
35,She stepped out of the house and into the bright sunlight.,3,Ella salió de la casa y se adentró en el sol brillante.,0
36,I would love to travel the world someday.,2,Me encantaría viajar por todo el mundo algún día.,0
37,She knows her way around the city.,0,Conoce su camino por la ciudad.,0
38,She is going to the movies tonight.,1,Ella va al cine esta noche.,1
39,The view from the top of the hill was good.,10,La vista desde la cima de la colina era buenísima.,0
40,She decided to spend her free time reading a book.,7,Ella decidió pasar su tiempo libre leyendo un libro.,5
41,The people were cheering for their favorite team.,2,La gente estaba aprobando su equipo favorito.,2
42,She sees the beauty in the world around her.,0,Ella ve la belleza en el mundo que la rodea.,0
43,Who is going to be the CEO of this company?,1,¿Quién va a ser el director general de esta empresa?,0
44,She wants more money for her new project,3,Ella quiere más dinero para su nuevo proyecto,3
45,She chose between the red or blue dress.,6,Ella eligió entre la vestida roja o azul.,7
46,The play was performed by a renowned actor.,5,El espectáculo se estrenǳ por un renombrado actor.,5
47,I have some money left in my wallet.,3,Tengo algunos dinero restante en mi cartera.,2
48,She could speak three languages fluently.,2,Ella podía hablar tres idiomas con fluidez.,2
49,Can you tell me which restaurant is open late?,5,¿Puedes decirme cuál restaurante está abierto de noche?,3
50,She will come to visit us this weekend.,3,Ella virá a vernos el fin de semana.,0
51,Can you look at the map and find our destination?,3,Puedes mirar el mapa y encontrar nuestro destino,2
52,I want to go to the beach tomorrow.,2,Quiero ir a la playa mañana.,0
53,I'm late because I got stuck in traffic.,3,Estoy retrasado porque me quedé atascado en el tráfico.,3
54,She bought two apples at the market.,3,Compró dos manzanas en el mercado.,2
55,She was determined to be the first one to reach the summit.,7,Ella estaba decidida a ser la primera en alcanzar la cima.,0
56,I'll let you try it first.,2,Le daré la oportunidad de probarlo primero.,0
57,The sun will be over the horizon at sunset.,5,El sol estará sobre el horizonte al atardecer.,4
